"tag","fecha_desde","fecha_hasta","nombre","artista","oyentes","url","imagen_url"
"disco","1777809600","1778414400","More Than a Woman","Bee Gees","N/A","https://www.last.fm/music/Bee+Gees/_/More+Than+a+Woman",""
"disco","1777809600","1778414400","Dancing Queen","ABBA","N/A","https://www.last.fm/music/ABBA/_/Dancing+Queen",""
"disco","1777809600","1778414400","Young Hearts Run Free","Candi Staton","N/A","https://www.last.fm/music/Candi+Staton/_/Young+Hearts+Run+Free",""
"disco","1777809600","1778414400","In The Navy","Village People","N/A","https://www.last.fm/music/Village+People/_/In+The+Navy",""
"disco","1777809600","1778414400","Treasure","Bruno Mars","N/A","https://www.last.fm/music/Bruno+Mars/_/Treasure",""
"disco","1777809600","1778414400","September","Earth, Wind & Fire","N/A","https://www.last.fm/music/Earth,+Wind+&+Fire/_/September",""
"disco","1777809600","1778414400","Houdini","Dua Lipa","N/A","https://www.last.fm/music/Dua+Lipa/_/Houdini",""
"disco","1777809600","1778414400","Let's Groove","Earth, Wind & Fire","N/A","https://www.last.fm/music/Earth,+Wind+&+Fire/_/Let%27s+Groove",""
"disco","1777809600","1778414400","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","N/A","https://www.last.fm/music/ABBA/_/Gimme%21+Gimme%21+Gimme%21+(A+Man+After+Midnight)",""
"disco","1777809600","1778414400","Say So","Doja Cat","N/A","https://www.last.fm/music/Doja+Cat/_/Say+So",""
"disco","1777809600","1778414400","Lay All Your Love on Me","ABBA","N/A","https://www.last.fm/music/ABBA/_/Lay+All+Your+Love+on+Me",""
"disco","1777809600","1778414400","Ring My Bell","Anita Ward","N/A","https://www.last.fm/music/Anita+Ward/_/Ring+My+Bell",""
"disco","1777809600","1778414400","Rasputin","Boney M.","N/A","https://www.last.fm/music/Boney+M./_/Rasputin",""
"disco","1777809600","1778414400","Don't Stop 'Til You Get Enough","Michael Jackson","N/A","https://www.last.fm/music/Michael+Jackson/_/Don%27t+Stop+%27Til+You+Get+Enough",""
"disco","1777809600","1778414400","I Will Survive","Gloria Gaynor","N/A","https://www.last.fm/music/Gloria+Gaynor/_/I+Will+Survive",""
"disco","1777809600","1778414400","Don't Start Now","Dua Lipa","N/A","https://www.last.fm/music/Dua+Lipa/_/Don%27t+Start+Now",""
"disco","1777809600","1778414400","Blame It on the Boogie","The Jacksons","N/A","https://www.last.fm/music/The+Jacksons/_/Blame+It+on+the+Boogie",""
"disco","1777809600","1778414400","Cheri Cheri Lady","Modern Talking","N/A","https://www.last.fm/music/Modern+Talking/_/Cheri+Cheri+Lady",""
"disco","1777809600","1778414400","Sunny","Boney M.","N/A","https://www.last.fm/music/Boney+M./_/Sunny",""
"disco","1777809600","1778414400","Break My Heart","Dua Lipa","N/A","https://www.last.fm/music/Dua+Lipa/_/Break+My+Heart",""
"disco","1777809600","1778414400","Off the Wall","Michael Jackson","N/A","https://www.last.fm/music/Michael+Jackson/_/Off+the+Wall",""
"disco","1777809600","1778414400","Funkytown","Lipps, Inc.","N/A","https://www.last.fm/music/Lipps,+Inc./_/Funkytown",""
"disco","1777809600","1778414400","Upside Down","Diana Ross","N/A","https://www.last.fm/music/Diana+Ross/_/Upside+Down",""
"disco","1777809600","1778414400","Love Again","Dua Lipa","N/A","https://www.last.fm/music/Dua+Lipa/_/Love+Again",""
"disco","1777809600","1778414400","You Should Be Dancing","Bee Gees","N/A","https://www.last.fm/music/Bee+Gees/_/You+Should+Be+Dancing",""
"disco","1777809600","1778414400","Daddy Cool","Boney M.","N/A","https://www.last.fm/music/Boney+M./_/Daddy+Cool",""
"disco","1777809600","1778414400","Give Life Back to Music","Daft Punk","N/A","https://www.last.fm/music/Daft+Punk/_/Give+Life+Back+to+Music",""
"disco","1777809600","1778414400","How Deep Is Your Love","Bee Gees","N/A","https://www.last.fm/music/Bee+Gees/_/How+Deep+Is+Your+Love",""
"disco","1777809600","1778414400","Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Bee Gees","N/A","https://www.last.fm/music/Bee+Gees/_/Stayin%27+Alive+-+From+%22Saturday+Night+Fever%22+Soundtrack",""
"disco","1777809600","1778414400","I'm Every Woman","Chaka Khan","N/A","https://www.last.fm/music/Chaka+Khan/_/I%27m+Every+Woman",""
"disco","1777809600","1778414400","The Winner Takes It All","ABBA","N/A","https://www.last.fm/music/ABBA/_/The+Winner+Takes+It+All",""
"disco","1777809600","1778414400","Voulez-Vous","ABBA","N/A","https://www.last.fm/music/ABBA/_/Voulez-Vous",""
"disco","1777809600","1778414400","Tears","Sabrina Carpenter","N/A","https://www.last.fm/music/Sabrina+Carpenter/_/Tears",""
"disco","1777809600","1778414400","Lose Yourself to Dance (feat. Pharrell Williams)","Daft Punk","N/A","https://www.last.fm/music/Daft+Punk/_/Lose+Yourself+to+Dance+(feat.+Pharrell+Williams)",""
"disco","1777809600","1778414400","Hot Stuff","Donna Summer","N/A","https://www.last.fm/music/Donna+Summer/_/Hot+Stuff",""
"disco","1777809600","1778414400","Last Train to London","Electric Light Orchestra","N/A","https://www.last.fm/music/Electric+Light+Orchestra/_/Last+Train+to+London",""
